E.Hu L.Cowie
H.Vedel J.Sommer-Larsen
H.Vedel S.Gelato
J.Sommer-Larsen S.Gelato
D.Wickramasinghe K.Wu
D.Wickramasinghe R.Hunstead
D.Wickramasinghe R.Soria
K.Wu R.Hunstead
K.Wu R.Soria
R.Hunstead R.Soria
A.Lyne D.Lorimer
A.Lyne F.Camilo
D.Lorimer F.Camilo
A.Athanasopoulos A.Jessner
A.Athanasopoulos A.Lyne
A.Athanasopoulos D.Lorimer
A.Athanasopoulos J.Seiradakis
A.Athanasopoulos K.Xilouris
A.Athanasopoulos M.Kramer
A.Athanasopoulos N.D'Amico
A.Athanasopoulos R.Wielebinski
A.Jessner A.Lyne
A.Jessner D.Lorimer
A.Jessner J.Seiradakis
A.Jessner K.Xilouris
A.Jessner M.Kramer
A.Jessner N.D'Amico
A.Jessner R.Wielebinski
A.Lyne D.Lorimer
A.Lyne J.Seiradakis
A.Lyne K.Xilouris
A.Lyne M.Kramer
A.Lyne N.D'Amico
A.Lyne R.Wielebinski
D.Lorimer J.Seiradakis
D.Lorimer K.Xilouris
D.Lorimer M.Kramer
D.Lorimer N.D'Amico
D.Lorimer R.Wielebinski
J.Seiradakis K.Xilouris
J.Seiradakis M.Kramer
J.Seiradakis N.D'Amico
J.Seiradakis R.Wielebinski
K.Xilouris M.Kramer
K.Xilouris N.D'Amico
K.Xilouris R.Wielebinski
M.Kramer N.D'Amico
M.Kramer R.Wielebinski
N.D'Amico R.Wielebinski
D.Crampton J.Beuzit
D.Crampton P.Schechter
J.Beuzit P.Schechter
A.Dobrzycki D.Dobrzycka
A.Dobrzycki D.Engels
A.Dobrzycki H.Hagen
D.Dobrzycka D.Engels
D.Dobrzycka H.Hagen
D.Engels H.Hagen
E.Blok S.McGaugh
C.Cardall G.Fuller
G.Fuller X.Shi
F.Takahara S.Levshakov
F.Takahara W.Kegel
S.Levshakov W.Kegel
S.Tsuneta T.Naito
F.Villante G.Fiorentini
F.Villante M.Moretti
G.Fiorentini M.Moretti
A.Aragon-Salamanca A.Barger
A.Aragon-Salamanca A.Dressler
A.Aragon-Salamanca A.Oemler
A.Aragon-Salamanca B.Poggianti
A.Aragon-Salamanca I.Smail
A.Aragon-Salamanca R.Ellis
A.Aragon-Salamanca R.Sharples
A.Aragon-Salamanca W.Couch
A.Barger A.Dressler
A.Barger A.Oemler
A.Barger B.Poggianti
A.Barger I.Smail
A.Barger R.Ellis
A.Barger R.Sharples
A.Barger W.Couch
A.Dressler A.Oemler
A.Dressler B.Poggianti
A.Dressler I.Smail
A.Dressler R.Ellis
A.Dressler R.Sharples
A.Dressler W.Couch
A.Oemler B.Poggianti
A.Oemler I.Smail
A.Oemler R.Ellis
A.Oemler R.Sharples
A.Oemler W.Couch
B.Poggianti I.Smail
B.Poggianti R.Ellis
B.Poggianti R.Sharples
B.Poggianti W.Couch
I.Smail R.Ellis
I.Smail R.Sharples
I.Smail W.Couch
R.Ellis R.Sharples
R.Ellis W.Couch
R.Sharples W.Couch
F.Combes H.Vega
F.Combes N.Sánchez
H.Vega N.Sánchez
P.Tissera R.Nguez-Tenreiro
P.Aguiar P.Crawford
A.Dressler D.Fabricant
A.Dressler E.Falco
A.Dressler L.David
A.Dressler M.Ramella
A.Dressler P.Blanco
A.Dressler S.Rappoport
A.Dressler W.Forman
A.Dressler W.Tucker
D.Fabricant E.Falco
D.Fabricant L.David
D.Fabricant M.Ramella
D.Fabricant P.Blanco
D.Fabricant S.Rappoport
D.Fabricant W.Forman
D.Fabricant W.Tucker
E.Falco L.David
E.Falco M.Ramella
E.Falco P.Blanco
E.Falco S.Rappoport
E.Falco W.Forman
E.Falco W.Tucker
L.David M.Ramella
L.David P.Blanco
L.David S.Rappoport
L.David W.Forman
L.David W.Tucker
M.Ramella P.Blanco
M.Ramella S.Rappoport
M.Ramella W.Forman
M.Ramella W.Tucker
P.Blanco S.Rappoport
P.Blanco W.Forman
P.Blanco W.Tucker
S.Rappoport W.Forman
S.Rappoport W.Tucker
W.Forman W.Tucker
E.Blok S.McGaugh
C.Churchill V.Brun
C.Chiosi C.Lia
C.Chiosi G.Carraro
C.Chiosi M.Voli
C.Lia G.Carraro
C.Lia M.Voli
G.Carraro M.Voli
F.Paolis G.Ingrosso
F.Paolis M.Roncadelli
F.Paolis P.Jetzer
G.Ingrosso M.Roncadelli
G.Ingrosso P.Jetzer
M.Roncadelli P.Jetzer
L.Yungelson S.Zwart
C.Carilli D.Harris
C.Carilli G.Pentericci
C.Carilli H.Rottgering
D.Harris G.Pentericci
D.Harris H.Rottgering
G.Pentericci H.Rottgering
A.Fabian A.Franceschini
A.Fabian S.Vercellone
A.Franceschini S.Vercellone
A.Dean A.Franceschini
A.Dean A.Spizzichino
A.Dean E.Palazzi
A.Dean F.Matteucci
A.Dean G.Cocco
A.Dean G.Palumbo
A.Dean L.Bassani
A.Dean L.Danese
A.Dean L.Hunt
A.Dean M.Cappi
A.Dean M.Persic
A.Dean P.Salucci
A.Dean S.Mariani
A.Dean Y.Rephaeli
A.Franceschini A.Spizzichino
A.Franceschini E.Palazzi
A.Franceschini F.Matteucci
A.Franceschini G.Cocco
A.Franceschini G.Palumbo
A.Franceschini L.Bassani
A.Franceschini L.Danese
A.Franceschini L.Hunt
A.Franceschini M.Cappi
A.Franceschini M.Persic
A.Franceschini P.Salucci
A.Franceschini S.Mariani
A.Franceschini Y.Rephaeli
A.Spizzichino E.Palazzi
A.Spizzichino F.Matteucci
A.Spizzichino G.Cocco
A.Spizzichino G.Palumbo
A.Spizzichino L.Bassani
A.Spizzichino L.Danese
A.Spizzichino L.Hunt
A.Spizzichino M.Cappi
A.Spizzichino M.Persic
A.Spizzichino P.Salucci
A.Spizzichino S.Mariani
A.Spizzichino Y.Rephaeli
E.Palazzi F.Matteucci
E.Palazzi G.Cocco
E.Palazzi G.Palumbo
E.Palazzi L.Bassani
E.Palazzi L.Danese
E.Palazzi L.Hunt
E.Palazzi M.Cappi
E.Palazzi M.Persic
E.Palazzi P.Salucci
E.Palazzi S.Mariani
E.Palazzi Y.Rephaeli
F.Matteucci G.Cocco
F.Matteucci G.Palumbo
F.Matteucci L.Bassani
F.Matteucci L.Danese
F.Matteucci L.Hunt
F.Matteucci M.Cappi
F.Matteucci M.Persic
F.Matteucci P.Salucci
F.Matteucci S.Mariani
F.Matteucci Y.Rephaeli
G.Cocco G.Palumbo
G.Cocco L.Bassani
G.Cocco L.Danese
G.Cocco L.Hunt
G.Cocco M.Cappi
G.Cocco M.Persic
G.Cocco P.Salucci
G.Cocco S.Mariani
G.Cocco Y.Rephaeli
G.Palumbo L.Bassani
G.Palumbo L.Danese
G.Palumbo L.Hunt
G.Palumbo M.Cappi
G.Palumbo M.Persic
G.Palumbo P.Salucci
G.Palumbo S.Mariani
G.Palumbo Y.Rephaeli
L.Bassani L.Danese
L.Bassani L.Hunt
L.Bassani M.Cappi
L.Bassani M.Persic
L.Bassani P.Salucci
L.Bassani S.Mariani
L.Bassani Y.Rephaeli
L.Danese L.Hunt
L.Danese M.Cappi
L.Danese M.Persic
L.Danese P.Salucci
L.Danese S.Mariani
L.Danese Y.Rephaeli
L.Hunt M.Cappi
L.Hunt M.Persic
L.Hunt P.Salucci
L.Hunt S.Mariani
L.Hunt Y.Rephaeli
M.Cappi M.Persic
M.Cappi P.Salucci
M.Cappi S.Mariani
M.Cappi Y.Rephaeli
M.Persic P.Salucci
M.Persic S.Mariani
M.Persic Y.Rephaeli
P.Salucci S.Mariani
P.Salucci Y.Rephaeli
S.Mariani Y.Rephaeli
A.D'Ercole F.Bradamante
A.D'Ercole F.Matteucci
F.Bradamante F.Matteucci
A.Connolly B.Mobasher
A.Connolly G.Szokoly
A.Connolly M.Subbarao
B.Mobasher G.Szokoly
B.Mobasher M.Subbarao
G.Szokoly M.Subbarao
A.Connolly A.Fernandez-Soto
A.Connolly A.Szalay
A.Connolly A.Yahil
A.Connolly B.Mobasher
A.Connolly D.Hogg
A.Connolly F.Hartwick
A.Connolly H.Lin
A.Connolly H.Yee
A.Connolly I.Csabai
A.Connolly J.Cohen
A.Connolly K.Lanzetta
A.Connolly M.Dickinson
A.Connolly M.Sawicki
A.Connolly M.SubbaRao
A.Connolly P.Mazzei
A.Connolly R.Blandford
A.Connolly R.Brunner
A.Connolly S.Gwyn
A.Fernandez-Soto A.Szalay
A.Fernandez-Soto A.Yahil
A.Fernandez-Soto B.Mobasher
A.Fernandez-Soto D.Hogg
A.Fernandez-Soto F.Hartwick
A.Fernandez-Soto H.Lin
A.Fernandez-Soto H.Yee
A.Fernandez-Soto I.Csabai
A.Fernandez-Soto J.Cohen
A.Fernandez-Soto K.Lanzetta
A.Fernandez-Soto M.Dickinson
A.Fernandez-Soto M.Sawicki
A.Fernandez-Soto M.SubbaRao
A.Fernandez-Soto P.Mazzei
A.Fernandez-Soto R.Blandford
A.Fernandez-Soto R.Brunner
A.Fernandez-Soto S.Gwyn
A.Szalay A.Yahil
A.Szalay B.Mobasher
A.Szalay D.Hogg
A.Szalay F.Hartwick
A.Szalay H.Lin
A.Szalay H.Yee
A.Szalay I.Csabai
A.Szalay J.Cohen
A.Szalay K.Lanzetta
A.Szalay M.Dickinson
A.Szalay M.Sawicki
A.Szalay M.SubbaRao
A.Szalay P.Mazzei
A.Szalay R.Blandford
A.Szalay R.Brunner
A.Szalay S.Gwyn
A.Yahil B.Mobasher
A.Yahil D.Hogg
A.Yahil F.Hartwick
A.Yahil H.Lin
A.Yahil H.Yee
A.Yahil I.Csabai
A.Yahil J.Cohen
A.Yahil K.Lanzetta
A.Yahil M.Dickinson
A.Yahil M.Sawicki
A.Yahil M.SubbaRao
A.Yahil P.Mazzei
A.Yahil R.Blandford
A.Yahil R.Brunner
A.Yahil S.Gwyn
B.Mobasher D.Hogg
B.Mobasher F.Hartwick
B.Mobasher H.Lin
B.Mobasher H.Yee
B.Mobasher I.Csabai
B.Mobasher J.Cohen
B.Mobasher K.Lanzetta
B.Mobasher M.Dickinson
B.Mobasher M.Sawicki
B.Mobasher M.SubbaRao
B.Mobasher P.Mazzei
B.Mobasher R.Blandford
B.Mobasher R.Brunner
B.Mobasher S.Gwyn
D.Hogg F.Hartwick
D.Hogg H.Lin
D.Hogg H.Yee
D.Hogg I.Csabai
D.Hogg J.Cohen
D.Hogg K.Lanzetta
D.Hogg M.Dickinson
D.Hogg M.Sawicki
D.Hogg M.SubbaRao
D.Hogg P.Mazzei
D.Hogg R.Blandford
D.Hogg R.Brunner
D.Hogg S.Gwyn
F.Hartwick H.Lin
F.Hartwick H.Yee
F.Hartwick I.Csabai
F.Hartwick J.Cohen
F.Hartwick K.Lanzetta
F.Hartwick M.Dickinson
F.Hartwick M.Sawicki
F.Hartwick M.SubbaRao
F.Hartwick P.Mazzei
F.Hartwick R.Blandford
F.Hartwick R.Brunner
F.Hartwick S.Gwyn
H.Lin H.Yee
H.Lin I.Csabai
H.Lin J.Cohen
H.Lin K.Lanzetta
H.Lin M.Dickinson
H.Lin M.Sawicki
H.Lin M.SubbaRao
H.Lin P.Mazzei
H.Lin R.Blandford
H.Lin R.Brunner
H.Lin S.Gwyn
H.Yee I.Csabai
H.Yee J.Cohen
H.Yee K.Lanzetta
H.Yee M.Dickinson
H.Yee M.Sawicki
H.Yee M.SubbaRao
H.Yee P.Mazzei
H.Yee R.Blandford
H.Yee R.Brunner
H.Yee S.Gwyn
I.Csabai J.Cohen
I.Csabai K.Lanzetta
I.Csabai M.Dickinson
I.Csabai M.Sawicki
I.Csabai M.SubbaRao
I.Csabai P.Mazzei
I.Csabai R.Blandford
I.Csabai R.Brunner
I.Csabai S.Gwyn
J.Cohen K.Lanzetta
J.Cohen M.Dickinson
J.Cohen M.Sawicki
J.Cohen M.SubbaRao
J.Cohen P.Mazzei
J.Cohen R.Blandford
J.Cohen R.Brunner
J.Cohen S.Gwyn
K.Lanzetta M.Dickinson
K.Lanzetta M.Sawicki
K.Lanzetta M.SubbaRao
K.Lanzetta P.Mazzei
K.Lanzetta R.Blandford
K.Lanzetta R.Brunner
K.Lanzetta S.Gwyn
M.Dickinson M.Sawicki
M.Dickinson M.SubbaRao
M.Dickinson P.Mazzei
M.Dickinson R.Blandford
M.Dickinson R.Brunner
M.Dickinson S.Gwyn
M.Sawicki M.SubbaRao
M.Sawicki P.Mazzei
M.Sawicki R.Blandford
M.Sawicki R.Brunner
M.Sawicki S.Gwyn
M.SubbaRao P.Mazzei
M.SubbaRao R.Blandford
M.SubbaRao R.Brunner
M.SubbaRao S.Gwyn
P.Mazzei R.Blandford
P.Mazzei R.Brunner
P.Mazzei S.Gwyn
R.Blandford R.Brunner
R.Blandford S.Gwyn
R.Brunner S.Gwyn
C.Waelkens E.Bakker
C.Waelkens H.Winckel
C.Waelkens L.Decin
E.Bakker H.Winckel
E.Bakker L.Decin
H.Winckel L.Decin
D.Fabricant D.Fisher
D.Fabricant M.Franx
D.Fabricant P.Dokkum
D.Fisher M.Franx
D.Fisher P.Dokkum
M.Franx P.Dokkum
B.Hansen M.Holman
B.Hansen N.Murray
B.Hansen S.Tremaine
M.Holman N.Murray
M.Holman S.Tremaine
N.Murray S.Tremaine
D.Psaltis F.Lamb
D.Psaltis M.Miller
F.Lamb M.Miller
P.Ruiz-Lapuente R.Canal
T.Wang Y.Lu
T.Wang Y.Zhou
Y.Lu Y.Zhou
N.Brynildsen O.Kjeldseth-Moe
N.Brynildsen P.Brekke
N.Brynildsen P.Maltby
N.Brynildsen S.Haugan
N.Brynildsen T.Rimmele
N.Brynildsen Ø.Wikstøl
O.Kjeldseth-Moe P.Brekke
O.Kjeldseth-Moe P.Maltby
O.Kjeldseth-Moe S.Haugan
O.Kjeldseth-Moe T.Rimmele
O.Kjeldseth-Moe Ø.Wikstøl
P.Brekke P.Maltby
P.Brekke S.Haugan
P.Brekke T.Rimmele
P.Brekke Ø.Wikstøl
P.Maltby S.Haugan
P.Maltby T.Rimmele
P.Maltby Ø.Wikstøl
S.Haugan T.Rimmele
S.Haugan Ø.Wikstøl
T.Rimmele Ø.Wikstøl
G.Bertelli L.Girardi
J.Bergeron J.Deharveng
J.Bergeron P.Boisse
J.Bergeron V.Brun
J.Deharveng P.Boisse
J.Deharveng V.Brun
P.Boisse V.Brun
E.Martinez-Gonzalez I.Ferreras
E.Martinez-Gonzalez N.Benitez
I.Ferreras N.Benitez
F.Labini L.Pietronero
F.Labini M.Montuori
L.Pietronero M.Montuori
M.Barstow M.Burleigh
A.Melott B.Wilhite
A.Melott H.Feldman
A.Melott P.Coles
B.Wilhite H.Feldman
B.Wilhite P.Coles
H.Feldman P.Coles
J.Grindlay K.Shah
J.Grindlay P.Bloser
J.Grindlay T.Narita
K.Shah P.Bloser
K.Shah T.Narita
P.Bloser T.Narita
C.Carilli K.Menten
C.Carilli M.Claussen
C.Carilli M.Reid
C.Carilli M.Rupen
K.Menten M.Claussen
K.Menten M.Reid
K.Menten M.Rupen
M.Claussen M.Reid
M.Claussen M.Rupen
M.Reid M.Rupen
A.Taylor E.Kampen
A.Taylor N.Benitez
A.Taylor S.Dye
A.Taylor T.Broadhurst
E.Kampen N.Benitez
E.Kampen S.Dye
E.Kampen T.Broadhurst
N.Benitez S.Dye
N.Benitez T.Broadhurst
S.Dye T.Broadhurst
G.Jeske O.Gerhard
G.Jeske R.Bender
G.Jeske R.Saglia
O.Gerhard R.Bender
O.Gerhard R.Saglia
R.Bender R.Saglia
C.Conselice J.III
E.Gourgoulhon S.Bonazzola
C.Schmid P.Widerin
M.Cemeljic T.Bulik
E.Kennelly P.Nisenson
E.Kennelly R.Kotak
E.Kennelly R.Noyes
E.Kennelly S.Horner
E.Kennelly S.Korzennik
E.Kennelly T.Brown
P.Nisenson R.Kotak
P.Nisenson R.Noyes
P.Nisenson S.Horner
P.Nisenson S.Korzennik
P.Nisenson T.Brown
R.Kotak R.Noyes
R.Kotak S.Horner
R.Kotak S.Korzennik
R.Kotak T.Brown
R.Noyes S.Horner
R.Noyes S.Korzennik
R.Noyes T.Brown
S.Horner S.Korzennik
S.Horner T.Brown
S.Korzennik T.Brown
B.Edvardsson B.Gustafsson
B.Edvardsson D.Kiselman
B.Edvardsson D.Lambert
B.Edvardsson R.Lopez
B.Edvardsson R.Rebolo
B.Gustafsson D.Kiselman
B.Gustafsson D.Lambert
B.Gustafsson R.Lopez
B.Gustafsson R.Rebolo
D.Kiselman D.Lambert
D.Kiselman R.Lopez
D.Kiselman R.Rebolo
D.Lambert R.Lopez
D.Lambert R.Rebolo
R.Lopez R.Rebolo
A.Levine G.Clark
A.Levine J.Woo
A.Levine P.Wojdowski
A.Levine S.Zhang
G.Clark J.Woo
G.Clark P.Wojdowski
G.Clark S.Zhang
J.Woo P.Wojdowski
J.Woo S.Zhang
P.Wojdowski S.Zhang
A.Fruchter C.Kouveliotou
A.Fruchter D.Macchetto
A.Fruchter E.Palazzi
A.Fruchter E.Pian
A.Fruchter F.Frontera
A.Fruchter J.Paradijs
A.Fruchter K.Sahu
A.Fruchter L.Petro
A.Fruchter M.Livio
A.Fruchter M.Mutchler
A.Fruchter M.Tavani
A.Fruchter P.Groot
A.Fruchter R.Gonzalez
A.Fruchter R.Hook
A.Fruchter S.Thorsett
A.Fruchter T.Galama
C.Kouveliotou D.Macchetto
C.Kouveliotou E.Palazzi
C.Kouveliotou E.Pian
C.Kouveliotou F.Frontera
C.Kouveliotou J.Paradijs
C.Kouveliotou K.Sahu
C.Kouveliotou L.Petro
C.Kouveliotou M.Livio
C.Kouveliotou M.Mutchler
C.Kouveliotou M.Tavani
C.Kouveliotou P.Groot
C.Kouveliotou R.Gonzalez
C.Kouveliotou R.Hook
C.Kouveliotou S.Thorsett
C.Kouveliotou T.Galama
D.Macchetto E.Palazzi
D.Macchetto E.Pian
D.Macchetto F.Frontera
D.Macchetto J.Paradijs
D.Macchetto K.Sahu
D.Macchetto L.Petro
D.Macchetto M.Livio
D.Macchetto M.Mutchler
D.Macchetto M.Tavani
D.Macchetto P.Groot
D.Macchetto R.Gonzalez
D.Macchetto R.Hook
D.Macchetto S.Thorsett
D.Macchetto T.Galama
E.Palazzi E.Pian
E.Palazzi F.Frontera
E.Palazzi J.Paradijs
E.Palazzi K.Sahu
E.Palazzi L.Petro
E.Palazzi M.Livio
E.Palazzi M.Mutchler
E.Palazzi M.Tavani
E.Palazzi P.Groot
E.Palazzi R.Gonzalez
E.Palazzi R.Hook
